"","X1","plate_rxn_ID","plate_pos_seq","plate_pos_factor","well","methylation","analysis_status","assay_notes","dup1","dup2","stdev","cv","drift_est","meth_adjust","stock_notes","cc_notes","rxn_notes","sample_id","id","kay.code","darting.date","new.box","cell","sample.type","sample.state.quality","tissue.origin","orig.vol.uL","orig.conc.ng.uL","num.freeze.thaw.cyc","last.freeze.thaw.date","samp.select.note","luma.assay.num","luma.notes","hyena","ear.tag.number","code.number.on.samples","found.dead","darter","location","gpsutme","gpsutmn","sex","age.class","natal.or.immigrant","reproductive.status","repro.stat.code","mass","telazol.dose","telazol.booster","darting.time","time.down","blood.sampling.time","radio.collared","radio.freq","radio.serial.num","gn.rh","num.edtawhole.blood","num.edtaplasma","num.edtabuffy.coat","num.serum","num.rbc","num.heparin.plasma","num.urine","num.paste","num.tissues","dnaextracted","num.thin.blood.smears","num.thick.blood.smears","ultrasound","num.fetuses","num.heartbeats","ultrasound.other","fetus.length.r.l.","parasites","parasite.ticks","parasites.lionfiles","parasites.other","glucose.grn.red.","glucose.green","glucose.red","pcv","wbc","rbc","knott.s.microfilaria","total.solids","zygo.to.top.crest","zygo.to.back.crest","eye.to.ear","ear.length","skull.length","head.circ","zygo.breadth","body.length","tail.length","neck.circ","girth","leg.side","front.ft.len","lower.leg.length","upper.leg.length","scapula.length","ht.at.shoulder","hind.ft.length","test.nip.length","test.nip.width","tooth.side","incisors","up.canine.ht","up.pm2len","up.pm3len","up.pm4len","upper.row.len","lower.row.len","low.row.with.m1len","m1length","low.pm4len","low.pm3len","low.pm2len","low.canine.ht","rt.low.pm3ht","lft.low.pm3ht","rt.low.pm3surf","lft.low.pm3surf","cavities.broken.teeth","kid.teeth","body.condition","scars.wounds","dartsheet.comments","reaction.to.darting","notes","num.wbc","num.rtbuffer","other.collected","temperature","respiration","heart.rate","body.fat","old.code.number","old.2nd.number","age.at.darting.days","age.at.darting.note","first.seen","den.grad","disappeared","mom","birthdate","number.littermates","litrank","mortality.source","death.date","weaned","clan","park","grad.age.mon","wean.age.mon","age.mon","age.cat","rank_year","hum.pres","lit.size","samp_year","dna_extrct_mth","mom.absrank","mom.strank","mom.strank.quart.order","mom.strank.quart","absrank","strank","strank.quart.order","strank.quart","prim.prey.3.6","prim.prey.6.9","prim.prey.birth.3","prim.prey.gest","prim.prey.peri.concpt","num.transects.3.6","num.transects.6.9","num.transects.birth.3","num.transects.gest","num.transects.peri.concpt","age.inter","samp_year_cnt"
"1",1,"p1r1",10,1,"A10",74.64124219,"y",NA,74.29121712,74.99126725,0.495010189,0.663185894,-0.0743553722643753,74.5916719418237,NA,NA,NA,185,"mnr",718,2003-10-04,"DNA_1",8,"DNA","O","WB",500,NA,NA,NA,"orig samps, plates 1-4",1,NA,"mnr",718,0,0,"jbt",NA,NA,NA,"m",NA,"natal",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,NA,2003-01-06,2003-10-02,2008-11-02,"nav",2002-11-20,1,NA,NA,NA,2004-02-10,"talek","tk",316,447,10.4,"cub",2002,"med",NA,2003,"old",12,-0.466666667,1,"Q1 (lowest)",NA,NA,NA,NA,-1.38999681706516,-0.991921119446126,-0.645025562221949,-0.676746210064823,-0.481489785854711,12,12,9,12,12,"cub",-3.39733333333334
"2",2,"p1r1",11,1,"A11",77.59687189,"y",NA,77.19891066,77.99483311,0.562802165,0.725289758,-0.0743553722643753,77.5497801542326,NA,NA,NA,187,"zc",351,2004-01-01,"DNA_1",10,"DNA","O","WB",600,NA,NA,NA,"orig samps, plates 1-4",1,NA,"zc",351,0,0,"jmk,saw,rvh,caw","400m ne-stupid tree",747229,9836793,"f",NA,"natal","preg","pregnant",49.9,2.3,NA,2004-01-01 11:28:00,2004-01-01 11:33:00,2004-01-01 11:38:00,0,"150.25","496433",0,2,4,0,4,NA,4,0,1,"0",NA,3,1,0,2,2,NA,"24.2/21.9","ti,lf",0,0,0,"67/85",67,85,34.9,NA,NA,NA,6.6,12.5,16,11,8.5,29,49,16.8,86,21,50.5,81,"r",19,24.5,27,27.5,77,22.5,32.5,NA,"r",22,29.6,16.1,22.3,36.3,97.8,79.8,98,24.3,23,19.8,13.6,28,19,18.8,3.9,4,"2","none","good","phallus has been torn in past so this is not her 1st litter","ega=66 days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1024,NA,2001-05-20,2001-10-09,2005-05-16,"ath",2001-03-13,0,NA,"humans",2005-05-16,2002-01-27,"talek","tk",210,320,33.6,"adult",2001,"med","single",2004,"old",2,0.882352941,4,"Q4","5","0.466666667",3,"Q3",0.904597818455752,-0.277614482499917,1.09993173078761,-0.0634836053335066,-0.486063406354753,12,8,12,10,12,"adult",-2.39733333333334
"3",3,"p1r1",9,1,"A9",77.29483874,"y",NA,77.11321021,77.47646728,0.256861538,0.332313959,-0.0743553722643753,77.2427899794149,NA,NA,NA,181,"port",368,2004-06-16,"DNA_1",3,"DNA","O","WB",500,NA,NA,NA,"orig samps, plates 1-4",1,NA,"port",NA,NA,0,"krt, kh","100 m w-paul's tree",750833,9838093,"m",NA,"immigrant","ok","ok",57,2.2,1,2004-06-16 00:31:00,2004-06-16 00:36:00,2004-06-16 00:43:00,0,"150.511","524131",0,3,0,0,3,1,3,0,1,"0",NA,3,1,0,NA,NA,NA,NA,NA,0,0,0,"65/61",65,61,30.5,NA,NA,NA,7.7,13.4,17.8,10,8.9,29.9,50.1,16.55,98.7,27,48.9,77.8,"r",18.4,26.5,25.5,26,78.5,22.5,38.4,32.9,"r",22.1,28.2,15.6,22,35.5,100.6,81.9,103,22.5,20.9,20.2,14.2,25.4,16.9,16.2,4.2,5.3,"2","none","good","none","fat; hassled by 2 juvies as going down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2003-09-08,NA,2005-04-20,NA,NA,NA,NA,NA,2005-01-26,NA,"talek",NA,NA,NA,44,"adult",NA,NA,NA,2004,"old",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"adult",-2.39733333333334
"4",4,"p1r1",13,1,"C1",77.13718164,"y",NA,78.8367381,75.43762518,2.403535794,3.11592379,-0.0743553722643753,77.0950469290502,NA,NA,NA,191,"cous",728,2004-04-16,"DNA_1",15,"DNA","O","WB",600,NA,NA,NA,"orig samps, plates 1-4",1,NA,"cous",728,NA,0,"jbt,jmk","160m w- talek l x",744942,9840072,"m",1,"natal","bado","bado",28.6,1.2,NA,2004-04-16 01:54:00,2004-04-16 01:56:00,2004-04-16 02:08:00,0,NA,NA,0,2,2,0,2,1,2,0,0,"0",2,3,1,0,NA,NA,NA,NA,"lf",0,0,0,"80/77",80,77,36.8,NA,NA,NA,6.8,11.3,13.7,10,7.9,23.2,41,14.6,84.7,25,39.8,59.9,"l",17.3,23.3,23.8,24,68.1,22.2,26.7,37.3,"l",21.6,13.8,8,13.4,34.1,88.2,67.7,90.5,22.1,16.1,14,12.6,18.2,18.4,15,0.5,0.9,"1","none","good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-04-17,2003-10-28,2007-07-06,"ali",2003-03-03,NA,NA,NA,NA,2004-02-14,"talek","tk",239,348,13.5,"subadult",2003,"med",NA,2004,"old",7,0.076923077,2,"Q2",NA,NA,NA,NA,-0.463444271657753,-0.338970619925837,-1.1834158823516,-0.698707592528489,-0.737612533856912,12,12,12,9,12,"subadult",-2.39733333333334
"5",5,"p1r1",22,1,"C10",77.1662045,"y",NA,78.07719766,76.25521133,1.288338893,1.66956364,-0.0743553722643753,77.1463764007295,NA,NA,NA,219,"guci",753,2010-07-07,"DNA_1",55,"DNA","O","WB",600,NA,NA,NA,"orig samps, plates 1-4",1,NA,"guci",NA,753,0,"keh, asb, sed","13 lugga s",NA,NA,"f",NA,"natal","lactating","lactating",68.2,2.4,1,2010-07-07 02:27:00,2010-07-07 02:30:00,2010-07-07 02:40:00,0,NA,NA,0,4,0,1,4,1,4,0,2,"0",2,3,1,0,NA,NA,NA,NA,"none noted",0,0,0,"64/59",64,59,45.38,NA,NA,NA,7.1,14.5,16.4,11,9.4,29,52,NA,94,23.7,50.5,82.3,"r",19.4,24,23.5,27.5,79,22.7,44.37,NA,"r",22.49,27.11,15.71,23.3,37.44,104.2,84.8,NA,NA,21.8,23.8,15.24,29.34,19.29,NA,7.18,NA,"1","none","good, fat","open wound on lower left hind leg","virus on face & above left eye; swabs: nares, prepuce, earwax, mouth, anal sac, rectum",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2004-05-31,2004-09-01,2012-01-24,"zc",2004-02-05,0,NA,"unk",NA,NA,"talek",NA,209,NA,77,"adult",2004,"med","single",2010,"old",5,0.466666667,3,"Q3","14","0.037037037",2,"Q2",-1.48783155788458,-0.679333061284439,-1.16510967268721,-1.10661327009135,0.412979709081557,10,12,12,12,12,"adult",3.60266666666666
"6",6,"p1r1",23,1,"C11",75.60635208,"y",NA,76.52469043,74.68801373,1.298726551,1.717747934,-0.0743553722643753,75.5890024931383,NA,NA,NA,221,"nav",100,2002-06-02,"DNA_1",57,"DNA","O","WB",400,NA,NA,NA,"orig samps, plates 1-4",1,NA,"nav",NA,NA,0,"saw, kmk, hew, krt, swl","250m s - cow t",750123,9838063,"f",NA,"natal","lactating","lactating",52,2.3,1.5,2002-06-02 01:14:00,2002-06-02 01:26:00,2002-06-02 01:45:00,0,NA,NA,0,2,2,NA,4,1,4,1,1,NA,NA,3,1,0,0,0,NA,NA,"ti, lf",0,0,0,"59/65",59,65,33.3,NA,NA,NA,7.2,14.5,19,NA,9.5,32.5,56,18.45,104,22,46,85,"l",18,26,29,29.5,79.5,23.5,37.92,NA,"r",22.74,27.96,14.55,21.38,32.95,96.8,79.12,NA,NA,21.56,19.76,14.46,26.26,14.64,15,8,8.1,"cavity lopm3, missing the incisors that go on left & right of upper 4 incisors","none","thin","lots scarring all over, especially right shoulder, ears are ratty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,3494,NA,1992-11-29,1993-06-08,2016-07-20,"coch",1992-11-07,1,2,NA,NA,1993-11-29,"talek","tk",213,387,114.8,"adult",1992,"low","twin",2002,"old",5,0.466666667,3,"Q3","12","-0.466666667",1,"Q1 (lowest)",-0.515074706308674,1.36587151957957,-0.327952623034873,1.85082890017157,1.31724981937505,10,12,12,10,12,"adult",-4.39733333333334
"7",7,"p1r1",24,1,"C12",75.90861592,"y","use only dup 1; non-specific peaks",75.90861592,75.48211281,0.301583242,0.398417055,-0.0743553722643753,75.8937448455471,NA,NA,NA,223,"coo",272,2002-02-26,"DNA_1",60,"DNA","O","WB",250,NA,NA,NA,"orig samps, plates 1-4",1,NA,"coo",NA,NA,0,"smd, saw","olos t",755256,9835638,"f",NA,"natal","pregnant","pregnant",48.6,2,1,2002-02-26 00:19:00,2002-02-26 00:24:00,2002-02-26 00:27:00,0,"150.74","446689",0,2,2,NA,3,1,4,NA,1,NA,NA,3,1,0,1,NA,"est gestational age 45-50","l=34.1 (donut measurement)","lf",0,0,0,"54/59",54,59,43.1,20775,9550000,"hook",7.2,12,16,NA,9,30,51.5,NA,94,26,46,76.5,"r",18.5,24,26.5,27,74,21.5,20.63,NA,"r",23.06,25.2,13.1,20.26,32.73,92.29,77.1,NA,NA,20.2,20.54,12.8,24.66,16.61,17.85,4.71,4.65,"0","none","good, a bit thin, hips sticking out, can feel ribs","right hind leg, small healed scar on knee","ultrasound, coo has just started forming her teat sacs, this is definitely her first pregnancy, her phallus was not torn and her nippples were not real big, but just starting to grow.  fetal measurements on data sheet.",NA,NA,NA,NA,NA,NA,NA,NA,NA,357,272,1181,NA,1999-01-05,1999-07-22,2005-12-07,"kip",1998-12-03,1,1,"croc?",2005-12-06,NA,"talek","tk",231,NA,38.8,"adult",1998,"low","twin",2002,"old",6,0.583333333,3,"Q3","4","0.5",3,"Q3",-0.00962261676432962,0.273075787977171,-0.668025671800288,1.23551416625922,3.61516743346624,12,12,12,12,12,"adult",-4.39733333333334
"8",8,"p1r1",14,1,"C2",72.39787814,"y",NA,73.54680292,71.24895336,1.624825007,2.24429921,-0.0743553722643753,72.358221941459,NA,NA,NA,194,"ffl",731,2004-05-03,"DNA_1",18,"DNA","O","WB",500,NA,NA,NA,"orig samps, plates 1-4",1,NA,"ffl",731,NA,0,"jbt,jes","400 m se- talek lugga xing",745464,9839911,"f",1,"natal","bado","bado",15.8,0.9,NA,2004-05-03 00:34:00,2004-05-03 00:36:00,2004-05-03 01:05:00,0,NA,NA,0,1,1,0,0,1,2,0,0,"0",2,3,1,0,NA,NA,NA,NA,"lf",0,0,0,"69",69,NA,31.29,NA,NA,NA,NA,11.2,10.9,9.2,8,20.7,35,11.6,63.5,19.1,29.9,49,"r",14.5,19.1,18.3,19.6,54.6,17.9,NA,NA,"l",21.8,NA,7.3,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","most","good","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-08-06,2004-04-29,NA,"mp",2003-06-28,1,1,NA,NA,2004-06-23,"talek",NA,306,361,10.2,"cub",2003,"med","twin",2004,"old",9,-0.230769231,2,"Q2",NA,NA,NA,NA,-0.276818337489627,-1.02929028956562,-0.245574679545115,-1.09581259019119,-0.842152431000671,12,12,12,12,9,"cub",-2.39733333333334
"9",9,"p1r1",15,1,"C3",75.63719225,"y",NA,75.85105669,75.42332782,0.302449989,0.399869402,-0.0743553722643753,75.6000145638678,NA,NA,NA,196,"ktn",335,2001-08-02,"DNA_1",20,"DNA","O","WB",500,NA,NA,NA,"orig samps, plates 1-4",1,NA,"ktn",NA,NA,0,"saw","t stop",745229,9837851,"m",NA,"natal","bado","bado",20.1,0.8,0.5,2001-08-02 01:07:00,2001-08-02 01:11:00,2001-08-02 02:15:00,0,NA,NA,0,2,2,NA,4,1,5,NA,NA,NA,NA,3,1,0,NA,NA,NA,NA,"ti, lf",0,0,0,"69/69",69,69,30,15350,6030000,"straight",6.2,11,12.5,NA,8,21.5,39,NA,69.5,18,33.5,59,"l",17,19,18.5,20.5,58,20,20.1,26.5,"l",21.6,7.7,7,10.2,22.6,56.1,62.8,NA,NA,14.7,13,8.3,8,5.9,5.6,3,2.8,"0",NA,"good","none","no ear tag",NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,230,NA,2001-04-02,2001-07-25,2003-01-22,"csn",2000-12-15,0,NA,NA,NA,2001-06-15,"talek","tk",222,182,7.6,"cub",2000,"med","single",2001,"old",5,0.666666667,3,"Q3",NA,NA,NA,NA,1.18494779004752,0.359428870280318,0.123084219696235,-0.409429382535763,1.42374983959025,12,12,10,12,12,"cub",-5.39733333333334
"10",10,"p1r1",16,1,"C4",75.87034917,"y",NA,75.40166074,76.3390376,0.662825533,0.873629211,-0.0743553722643753,75.8356499962766,"low stock vol: low conc; poor quality","low 230","not enough DNA in HpaII rxn",201,"mrph",197,2003-12-25,"DNA_1",26,"DNA","O","WB",300,NA,NA,NA,"orig samps, plates 1-4",1,NA,"mrph",197,0,0,"saw","150m n  box xing",NA,NA,"f",NA,"natal","lactating","lactating",60.4,1.5,1,2003-12-25 11:42:00,2003-12-25 11:56:00,2003-12-25 12:00:00,0,NA,NA,0,2,2,0,4,1,4,0,1,"0",NA,3,1,0,0,0,NA,NA,"ti,lf",0,0,0,"60/57",60,57,38.8,NA,NA,NA,7.4,13,18,12,9,29.5,52.5,17.6,87,24,51,87,"r",19.5,25.5,24,27.5,76.5,NA,39.6,NA,"r",21.7,27.5,11.9,21,35.1,94,76.9,98.6,22.5,18.5,19.2,11.9,25.6,14.4,14.8,7.5,7.5,"0","none","good","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2739,NA,1996-07-22,1996-12-29,2011-04-12,"bsh",1996-06-25,1,1,"lions",2011-04-11,1997-06-01,"talek","tk",187,341,90,"adult",1996,"low","twin",2003,"old",1,1,4,"Q4","1","1",4,"Q4",0.690019101196362,-0.0879911935827737,4.10496645569608,2.90259910884954,0.405139216795775,12,12,12,10,12,"adult",-3.39733333333334
