,id,age.cat,age.reps,methylation,meth_adjust,kay.code,darting.date,sex,reproductive.status,mass,glucose.green,glucose.red,pcv,wbc,rbc,total.solids,first.seen,den.grad,disappeared,mom,birthdate,number.littermates,litrank,mortality.source,death.date,weaned,clan,park,mom.absrank,mom.strank,mom.strank.quart,mom.strank.quart.order,hum.pres,lit.size,age.mon,rank_year,samp_year,dna_extrct_mth,absrank,strank,strank.quart,strank.quart.order,prim.prey.3.6,prim.prey.6.9,prim.prey.birth.3,prim.prey.gest,prim.prey.peri.concpt,num.transects.3.6,num.transects.6.9,num.transects.birth.3,num.transects.gest,num.transects.peri.concpt,samp_year_cnt
2,ade,adult,1,69.985218,69.9332137,787,4/6/03,m,ok,41.6,NA,NA,44.4,NA,NA,7.2,11/9/01,NA,5/4/04,NA,NA,NA,NA,humans-speared,NA,NA,talek,NA,NA,NA,NA,NA,NA,NA,30,NA,2003,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.25625
20,atar,adult,1,76.71400068,76.67646536,461,6/30/00,f,lactating,56.6,66,64,31.4,20075,4790000,7.4,5/25/01,NA,NA,NA,NA,NA,NA,NA,NA,NA,mara.river,NA,NA,NA,NA,NA,low,NA,78,NA,2000,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.25625
24,bab,adult,1,80.27617341,80.26678014,771,1/22/09,f,bado,55.2,63,62,39,NA,NA,5.9,12/3/04,9/26/05,NA,mp,10/30/04,1,2,NA,NA,8/24/05,talek,NA,NA,NA,NA,NA,med,twin,50.8,2004,2009,old,15,-0.333333333,Q1 (lowest),1,-1.432286024,-1.02970186,-0.981636006,-0.794239345,-1.260591275,12,12,12,12,10,2.74375
26,back,adult,2,76.21762519,76.25534794,417,12/30/00,f,lactating,NA,60,60.5,33.05,16537.5,6987500,7.55,5/9/01,NA,2/9/04,NA,NA,NA,NA,NA,2/10/04,NA,mara.river,NA,NA,NA,NA,NA,low,NA,106,NA,2000,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.25625
29,bag,subadult,1,73.37499794,73.38090094,86,7/15/93,m,bado,28.4,NA,NA,NA,NA,NA,NA,5/11/92,3/4/93,4/22/94,2,4/7/92,1,2,NA,NA,NA,talek,tk,NA,NA,NA,NA,low,twin,15.2,1992,1993,old,NA,NA,NA,NA,5.053336812,-0.900563844,0.47808752,-0.535192735,-0.318717975,10,12,12,12,12,-13.25625
32,bart,adult,1,70.25821281,70.22511064,1013,8/8/12,f,NA,56.2,77,80,31.52,NA,NA,NA,11/10/08,NA,9/14/14,NA,NA,NA,NA,NA,NA,NA,serena.s,tr,NA,NA,NA,NA,low,NA,NA,NA,2012,old,4,0.6,Q3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74375
35,bbc,adult,1,73.69635329,73.69045029,358,6/26/07,f,lactating,54.6,73,75,33,NA,NA,7.5,NA,NA,11/16/11,NA,NA,NA,NA,unk,NA,NA,fig.tree,NA,NA,NA,NA,NA,NA,NA,149,NA,2007,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74375
36,bca,adult,1,77.37231569,77.40209343,794,10/29/09,m,ok,64.8,60,57,45.4,NA,NA,7.9,9/21/02,NA,8/7/11,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,128,NA,2009,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74375
37,bel,adult,2,79.33040024,79.32466193,902,10/30/07,f,lactating,66.6,62,63.5,42.95,NA,NA,7.55,8/3/06,NA,4/10/10,NA,NA,NA,NA,unk,NA,NA,fig.tree,NA,NA,NA,NA,NA,NA,NA,64.5,NA,2006,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25625
47,bp,adult,1,80.29816562,80.22811589,178,7/15/97,m,ok,49.5,59,58,NA,NA,NA,NA,6/18/96,NA,4/15/02,NA,NA,NA,NA,NA,NA,NA,talek,tk,NA,NA,NA,NA,NA,NA,54,NA,1997,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.25625
50,brno,adult,1,77.40694567,77.40322183,670,3/4/14,m,unk,50.2,64,67,39.5,NA,NA,NA,7/14/12,NA,12/24/14,NA,NA,NA,NA,NA,NA,NA,talek,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74375
59,cash,cub,1,80.3415481,80.34013911,879,1/26/04,f,bado,31.7,86,86,34.5,NA,NA,NA,4/14/03,10/3/03,NA,chip,2/16/03,1,1,NA,NA,NA,mara.river,NA,NA,NA,NA,NA,low,twin,11.3,2003,2004,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25625
